,Discipline,Field,Topic
1368,Indigenous Studies,"Ngā tāngata, te porihanga me ngā hapori o te Māori (Māori peoples, society and community)","Ngā tāngata, te porihanga me ngā hapori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori peoples, society and community n"
1369,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te mātai arorangi me te mātai tuarangi o te Māori (Māori astronomy and cosmology)
1370,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Ngā pūtaiao koiora o te Māori (Māori biological sciences)
1371,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te whakamahi me te hoahoa o te hangarau rorohiko o te Māori (Māori computing technology use and design)
1372,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te mana motuhake o ngā raraunga Māori (Māori data sovereignty)
1373,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te mātauranga pūkaha o te Māori (Māori engineering)
1374,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te mātai huingaira o te Māori (Māori genomics)
1375,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Ngā pūnaha whakahaere mōhiohio me te mātauranga o te Māori (Māori information and knowledge management systems)
1376,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te wairua auaha o te Māori (Māori innovation) 
1377,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Ngā tikanga whakahaere mōhiotanga Māori (Māori knowledge management methods)
1378,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),"Ngā pūtaiao pāngarau, ōkiko, matū hoki - hāunga te mātai arorangi me te mātai tuarangi o te Māori (Māori mathematical, physical and chemical sciences - excl. astronomy and cosmology)"
1379,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Te tukatuka reo noa o te Māori (Māori natural language processing)
1380,Indigenous Studies,Ngā pūtaiao Māori (Māori sciences),Ngā pūtaiao Māori kāore anō kia whakarōpūhia i wāhi kē (Māori sciences n
1381,Indigenous Studies,"Pacific Peoples culture, language and history",Archaeology of New Guinea and Pacific Islands (excl. New Zealand)
1382,Indigenous Studies,"Pacific Peoples culture, language and history",Conservation of Pacific Peoples heritage
1383,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples artefacts
1384,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples cultural history
1385,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples culture
1386,Indigenous Studies,"Pacific Peoples culture, language and history","Pacific Peoples curatorial, archives and museum studies"
1387,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples ethics
1388,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples history
1389,Indigenous Studies,"Pacific Peoples culture, language and history","Pacific Peoples land, culture and identity"
1390,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples linguistics and languages
1391,Indigenous Studies,"Pacific Peoples culture, language and history","Pacific Peoples literature, journalism and professional writing"
1392,Indigenous Studies,"Pacific Peoples culture, language and history","Pacific Peoples media, film, animation and photography"
1393,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples music and performing arts
1394,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples philosophy
1395,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples religion and religious studies
1396,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples repatriation
1397,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples research methods 
1398,Indigenous Studies,"Pacific Peoples culture, language and history",Pacific Peoples visual arts and crafts
1399,Indigenous Studies,"Pacific Peoples culture, language and history","Pacific Peoples ways of knowing, being and doing"
1400,Indigenous Studies,"Pacific Peoples culture, language and history","Pacific Peoples culture, language and history "
1401,Indigenous Studies,Pacific Peoples education,Cultural responsiveness and working with Pacific Peoples communities education
1402,Indigenous Studies,Pacific Peoples education,"Embedding Pacific Peoples knowledges, histories, culture, country, perspectives and ethics in education"
1403,Indigenous Studies,Pacific Peoples education,Pacific Peoples curriculum and pedagogy
1404,Indigenous Studies,Pacific Peoples education,Pacific Peoples early childhood education
1405,Indigenous Studies,Pacific Peoples education,Pacific Peoples educational methods
1406,Indigenous Studies,Pacific Peoples education,"Pacific Peoples technical, further, continuing and community education"
1407,Indigenous Studies,Pacific Peoples education,Pacific Peoples higher education
1408,Indigenous Studies,Pacific Peoples education,Pacific Peoples language education
1409,Indigenous Studies,Pacific Peoples education,Pacific Peoples men’s education
1410,Indigenous Studies,Pacific Peoples education,Pacific Peoples primary education
1411,Indigenous Studies,Pacific Peoples education,Pacific Peoples secondary education
1412,Indigenous Studies,Pacific Peoples education,Pacific Peoples student engagement and teaching
1413,Indigenous Studies,Pacific Peoples education,Pacific Peoples women’s education
1414,Indigenous Studies,Pacific Peoples education,Pacific Peoples education 
1415,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples agriculture and forestry
1416,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples earth sciences 
1417,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples environmental conservation
1418,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples environmental knowledges
1419,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples fisheries and customary fisheries
1420,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples land and water management
1421,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples marine environment science
1422,Indigenous Studies,Pacific Peoples environmental knowledges,Pacific Peoples environmental knowledges 
1423,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples and disability
1424,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples biomedical and clinical science
1425,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples cultural determinants of health
1426,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples diet and nutrition
1427,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples epidemiology
1428,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples health policy
1429,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples health promotion
1430,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples life course
1431,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples medicine and treatments
1432,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples midwifery and paediatrics
1433,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples mothers and babies health and wellbeing
1434,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples nursing
1435,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples psychology
1436,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples public health and wellbeing
1437,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples remote health
1438,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples social determinants of health
1439,Indigenous Studies,Pacific Peoples health and wellbeing,"Pacific Peoples social, cultural, emotional and spiritual wellbeing"
1440,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples sport and physical activity
1441,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples theory of change models for health
1442,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples youth and family
1443,Indigenous Studies,Pacific Peoples health and wellbeing,Pacific Peoples health and wellbeing 
1444,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples astronomy and cosmology
1445,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples biological sciences
1446,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples computing technology use and design
1447,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples engineering 
1448,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples genomics
1449,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples information and knowledge management systems
1450,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples innovation
1451,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples knowledge management methods
1452,Indigenous Studies,Pacific Peoples sciences,"Pacific Peoples mathematical, physical and chemical sciences (excl. astronomy and cosmology)"
1453,Indigenous Studies,Pacific Peoples sciences,Pacific Peoples sciences 
1454,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples and the law 
1455,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples anthropology
1456,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples architecture
1457,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples commerce
1458,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples community and regional development
1459,Indigenous Studies,Pacific Peoples society and community,Pacific Peoples community governance and decision making
